Address,Sold_Price,Year_built,Total_interior_livable_area,Total_spaces,Garage_spaces,Elementary_School_Distance,Middle_School_Distance,High_School_Distance,Annual_tax_amount,Last_Sold_Price
'5355 Monterey Rd',2.562758,?,?,?,?,0.2,?,1.2,2.252658,950000
'612 Mission Ridge Rd',2.660983,1960,1729,4,2,1.1,?,1,2.355307,1170000
'551 Chiquita Ave',2.670472,1947,924,1,1,1.1,0.8,1.2,2.34648,850000
'12613 Nantucket Ct',2.697672,1964,2520,2,2,0.6,1,1.2,2.19335,?
'1979 Josephine Ave',2.635857,1958,1282,2,2,0.3,0.2,2.2,2.163513,?
'21151 Ruscello Ln',2.546312,2013,1766,2,2,9.1,?,9.8,2.266263,323000
'13550 Bear Creek Rd #20',2.548965,1928,770,0,0,0.4,4.7,4.9,2.02831,?
'4300 Mercury Ave',2.627578,1923,1294,4,4,0.4,?,1.1,2.320363,802500
'1114 Gargano Rd',2.516084,2019,?,2,2,0.2,1.9,1.1,?,211000
'1278 Antwerp Ln',2.638604,1965,1663,1,1,1,1.5,0.3,?,940000
'356 S Hudson Ave',2.818992,1925,9676,1,1,0.3,0.4,2,2.562011,12412500
'14622 Kit Ln',2.606692,2017,1502,0,0,?,?,5.9,2.295517,?
'705 Joseph Pl',2.546761,2010,2018,4,4,0.4,5.9,6,2.232836,350000
'526 Swift St',2.619022,1971,1040,0,0,0.7,1.3,3.9,2.308669,700000
'5069 Corbin Ave',2.642382,1964,1952,1,1,0.2,0.4,0.5,2.197858,?
'234 W 89th St',2.588116,1962,2026,0,0,0.1,0.6,?,2.292618,?
'2747 Malabar St',2.58717,1923,1751,2,2,0.4,1.3,?,2.276833,?
'9750 Sparrow Glen Way',2.624697,2000,3012,3,3,0.7,2.5,0.7,2.317866,655000
'6856 Rohnerville Rd',2.550256,1934,1800,1,1,0.4,?,4.3,2.149634,?
'2932 Elm St #1-2',2.561856,1953,590,0,0,0.4,1,3.3,?,619000
'927 Juliet Ave',2.641414,1963,1840,2,2,1.5,0.8,1.7,2.333893,700000
'3 Sterling Rd',2.550469,1992,2370,4,4,51.9,?,51.5,2.215432,330000
'24920 Curve St',2.492804,1948,1314,4,4,0.1,?,3.6,2.058074,70000
'4501 Finley Ave APT 10',2.591419,1957,982,1,1,0.2,0.8,0.7,2.116475,83000
'496 Sequoia Way',2.733336,2007,4599,2,2,0.5,1,1.6,2.453365,1525000
'1502 Sycamore Dr',2.527689,1930,1987,2,2,0.5,0.4,0.2,2.199292,255900
'118 Santa Cruz Ave',2.637397,2020,1072,0,0,1,?,2.9,2.322138,812500
'1 Lakeside Dr APT 1402',2.625937,2001,1341,2,2,?,?,?,2.312499,500000
'720 Pennyroyal Ln',2.692667,1979,3528,0,0,7.3,10.5,7.8,2.23575,?
'690 Spruce St APT 203',2.652331,2008,1236,1,1,0.8,0.4,0.5,?,1300000
'960 Linda Vista St',2.611323,1955,1165,2,2,0.1,0.6,1.1,2.252128,195000
'1155 S Grand Ave APT 606',2.586211,2008,890,1,1,?,1,1.3,2.273084,?
'4963 Mount Royal Dr',2.607644,1922,852,1,1,0.6,?,0.2,2.268199,425000
'2404 Griffith Park Blvd',2.641815,1937,1342,0,0,0.5,0.7,0.4,2.330522,725000
'11428 Peach St',2.578246,2006,1549,2,2,0.4,0.9,2,?,?
'175 Bluxome St UNIT 104',2.595254,1998,946,0,0,0.9,2.6,0.2,2.28901,420000
'425 N Gower St',2.65296,1920,?,0,0,0.5,1.1,2.3,2.093184,?
'27786 Melbourne Ave',2.59748,1955,1000,1,1,0.1,1.8,0.4,2.29183,555000
'1390 Hayes St APT 2',2.620133,1929,871,1,1,0.7,0.3,0.3,2.331054,755000
'10623 S Freeman Ave',2.581555,1924,760,0,0,0.3,1,2.9,2.172844,315000
'17 Parrott Ct',2.684923,1972,2360,3,3,0.9,1.9,1.7,2.311252,?
'16998 Kennedy Rd',2.672108,1938,1375,1,1,0.2,6.5,0.6,2.398087,1888000
'511 Starboard Dr',2.678429,1969,1980,0,0,0.9,?,2.8,2.328326,725000
'1721 De Marietta Ave',2.676781,1973,4339,4,4,0.3,1.3,0.3,2.416449,1747500
'160 Mount Olive Dr',2.664498,1974,4543,2,2,0.5,?,1.3,2.27211,?
'124 Cypress Ave',2.649348,1951,1409,2,2,1,1.5,2.4,2.0686,?
'2001 Fox Hills Dr',2.677676,1939,1973,1,1,0.8,?,2.7,2.401326,?
'706 W Kamm Ave',2.509712,1988,1240,2,2,1.4,?,12.3,2.084387,245000
'53 Los Altos Sq',2.671204,1964,1444,1,1,1,?,0.7,2.418914,2100000
'684 Pinnacles Ter',2.646649,2005,1487,2,2,0.8,0.8,2.1,2.322009,?
